"ecosystem","sample","sample_fraction","fraction","sampleID","isotope.treatment","iso.treat.eco","Density.g.ml","avg_16S_copies","dna_ng_ul","uL_added","dry_soil_wt_g"
"GL",15,"15_11",11,"W1_GL_15","13C_N","13C_N.GL",1.6943616,73119.01286,18.1,35,0.25401548921333
"GL",15,"15_12",12,"W1_GL_15","13C_N","13C_N.GL",1.6901504,80671.29572,18.1,35,0.25401548921333
"GL",15,"15_13",13,"W1_GL_15","13C_N","13C_N.GL",1.6859392,218376.5054,18.1,35,0.25401548921333
"GL",15,"15_14",14,"W1_GL_15","13C_N","13C_N.GL",1.681728,285051.6934,18.1,35,0.25401548921333
"GL",15,"15_15",15,"W1_GL_15","13C_N","13C_N.GL",1.676464,244675.1669,18.1,35,0.25401548921333
"GL",15,"15_16",16,"W1_GL_15","13C_N","13C_N.GL",1.6733056,95019.8671,18.1,35,0.25401548921333
"GL",15,"15_17",17,"W1_GL_15","13C_N","13C_N.GL",1.6690944,34690.48141,18.1,35,0.25401548921333
"GL",15,"15_18",18,"W1_GL_15","13C_N","13C_N.GL",1.665936,18363.67262,18.1,35,0.25401548921333
"GL",15,"15_2",2,"W1_GL_15","13C_N","13C_N.GL",1.7354208,1263.426473,18.1,35,0.25401548921333
"GL",15,"15_4",4,"W1_GL_15","13C_N","13C_N.GL",1.7280512,2734.55375,18.1,35,0.25401548921333
"GL",15,"15_5",5,"W1_GL_15","13C_N","13C_N.GL",1.72384,4969.860014,18.1,35,0.25401548921333
"GL",15,"15_6",6,"W1_GL_15","13C_N","13C_N.GL",1.7206816,87161.29433,18.1,35,0.25401548921333
"GL",15,"15_7",7,"W1_GL_15","13C_N","13C_N.GL",1.7143648,26107.58344,18.1,35,0.25401548921333
"GL",15,"15_8",8,"W1_GL_15","13C_N","13C_N.GL",1.708048,81981.32734,18.1,35,0.25401548921333
"GL",15,"15_9",9,"W1_GL_15","13C_N","13C_N.GL",1.7038368,82253.19169,18.1,35,0.25401548921333
"GL",16,"16_10",10,"W1_GL_19","18O","18O.GL",1.6996256,51677.61021,18.42,55,0.328874358551034
